Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
292,63.4,91.63333333333334,-0.13572833333333334,1,30
293,61.333333333333336,91.0,0.09603166666666668,1,30
294,63.166666666666664,86.53333333333333,-0.05874833333333334,1,30
295,69.03333333333333,83.56666666666666,-0.5561466666666667,1,30
296,63.53333333333333,85.83333333333333,0.5383766666666666,1,30
297,59.96666666666667,91.76666666666667,0.1801883333333333,1,30
298,63.666666666666664,85.4,0.20823666666666665,1,30
299,64.36666666666666,88.83333333333333,-0.26098499999999997,1,30
300,59.1,91.33333333333333,-0.07019166666666668,1,30
301,62.3,89.93333333333334,-0.04458499999999999,1,30
302,62.93333333333333,87.36666666666666,-0.4064883333333333,1,30
303,63.03333333333333,88.73333333333333,0.1267066666666667,1,30
304,60.1,87.03333333333333,0.215125,1,30
305,63.0,82.43333333333334,0.4886066666666667,1,30
306,62.5,87.96666666666667,-0.11019833333333331,1,30
307,61.43333333333333,90.13333333333334,-0.101045,1,30
308,59.36666666666667,91.36666666666666,-0.18975166666666665,1,30
309,60.833333333333336,90.16666666666667,-0.09359000000000002,1,30
310,61.93333333333333,91.53333333333333,-0.15823833333333334,1,30
311,60.9,90.0,0.10216166666666666,1,30
312,62.166666666666664,89.63333333333334,-0.6708266666666667,1,30
313,65.5,95.06666666666666,0.525655,1,30
314,62.2,86.16666666666667,0.34465666666666667,1,30
315,63.13333333333333,84.56666666666666,0.10231333333333334,1,30
316,63.233333333333334,84.43333333333334,-0.10783333333333331,1,30
317,69.46666666666667,84.33333333333333,-0.14379499999999998,0,31
318,80.66666666666667,88.43333333333334,-0.86167,0,31
319,58.5,95.03333333333333,-0.19757666666666662,1,32
320,63.0,92.73333333333333,-0.006388333333333359,1,32
321,63.53333333333333,91.13333333333334,0.055775,1,32
322,62.6,89.96666666666667,0.36169999999999997,1,32
323,65.1,90.83333333333333,0.3116766666666667,1,32
324,61.03333333333333,88.2,0.3595383333333333,1,32
325,63.3,84.73333333333333,0.6530183333333334,1,32
326,64.46666666666667,90.2,0.30267,1,32
327,64.46666666666667,89.93333333333334,0.5438433333333333,1,32
328,62.36666666666667,90.9,0.23926333333333333,1,32
329,65.9,90.13333333333334,0.15328333333333333,1,32
330,66.0,90.3,0.22731166666666663,1,32
331,71.0,92.46666666666667,-0.6831683333333333,1,32
332,71.53333333333333,95.06666666666666,-0.40296833333333326,0,33
333,60.766666666666666,92.66666666666667,0.04539166666666666,1,34
334,61.5,92.23333333333333,-0.16780166666666668,1,34
335,64.33333333333333,90.96666666666667,0.48763166666666663,1,34
336,63.266666666666666,86.16666666666667,-0.10497999999999998,1,34
337,66.23333333333333,83.93333333333334,-0.4170566666666667,1,34
338,64.1,89.43333333333334,0.6849116666666667,1,34
339,61.13333333333333,82.6,0.37665333333333334,1,34
340,63.2,83.43333333333334,-0.3890083333333333,1,34
341,69.6,86.66666666666667,-0.13412166666666664,1,34
342,59.733333333333334,83.76666666666667,0.23526666666666665,1,34
343,62.266666666666666,82.9,0.41520333333333337,1,34
344,65.4,88.26666666666667,-0.29817,1,34
345,57.13333333333333,87.33333333333333,0.4953166666666667,1,34
346,62.266666666666666,87.66666666666667,-0.22589166666666666,1,34
347,63.5,85.9,0.46210500000000004,1,34
348,62.06666666666667,86.8,0.32988,1,34
349,62.13333333333333,81.83333333333333,0.023273333333333326,1,34
350,63.733333333333334,90.03333333333333,0.19285,1,34
