Sample_Order,Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
128,238,62.63333333333333,85.06666666666666,0.17286333333333334,1,16
129,265,64.33333333333333,84.4,0.206505,1,28
130,241,61.86666666666667,76.63333333333334,0.804445,1,16
131,709,58.233333333333334,91.7,-0.012796666666666668,1,52
132,57,67.2,89.96666666666667,0.5782716666666666,1,8
133,882,53.9,91.66666666666667,-0.10323333333333333,1,68
134,469,74.7,75.3,-0.6134749999999999,0,43
135,384,75.7,80.83333333333333,-0.458845,0,37
136,780,56.46666666666667,86.96666666666667,0.059795,1,62
137,707,62.233333333333334,81.83333333333333,-0.13323833333333332,1,52
138,874,54.06666666666667,94.3,-1.6804233333333334,1,68
139,327,64.46666666666667,89.93333333333334,0.5438433333333333,1,32
140,846,73.53333333333333,81.5,-0.363275,0,63
141,234,78.2,94.2,-0.2672133333333333,0,15
142,766,55.9,92.26666666666667,0.14966500000000002,1,60
143,717,55.233333333333334,89.3,0.05058000000000001,1,54
144,0,85.8,93.93333333333334,-1.0392566666666667,0,1
145,243,64.8,80.8,0.087745,0,17
146,607,60.666666666666664,85.36666666666666,-0.12164833333333334,0,45
147,7,76.56666666666666,90.13333333333334,-0.65322,0,3
148,497,58.2,86.5,0.42272999999999994,1,44
149,748,58.233333333333334,86.9,-0.23013333333333333,1,58
150,625,59.333333333333336,87.86666666666666,0.12400666666666667,1,48
151,345,57.13333333333333,87.33333333333333,0.4953166666666667,1,34
152,4,72.83333333333333,93.83333333333333,0.011518333333333351,0,1
153,6,72.8,91.83333333333333,0.28356666666666663,1,2
154,467,62.4,85.93333333333334,-0.3549133333333333,1,42
155,747,54.36666666666667,93.73333333333333,-0.01210666666666667,1,58
156,448,57.43333333333333,85.46666666666667,0.2560516666666667,1,40
157,62,70.53333333333333,87.56666666666666,0.2989,1,8
158,909,61.833333333333336,95.28571428571429,1.299125,0,73
159,750,75.3,87.61538461538461,-0.04676666666666667,0,59
160,397,60.63333333333333,92.1,0.4989766666666667,1,38
161,266,71.86666666666666,82.53333333333333,-0.70472,0,29
162,912,67.03333333333333,86.66666666666667,-0.007448333333333335,0,74
163,405,57.8,92.86666666666666,0.5071933333333333,1,38
164,687,58.1,84.26666666666667,-0.11429166666666667,1,50
165,697,70.03333333333333,80.26666666666667,-0.19044000000000003,0,51
166,623,73.03333333333333,73.56666666666666,-0.10373833333333332,0,47
167,254,63.733333333333334,89.56666666666666,0.2147,0,23
168,404,57.8,92.4,0.49177166666666666,1,38
169,18,71.36666666666666,87.7,0.3694483333333333,1,6
170,170,63.9,89.96666666666667,0.49689500000000003,1,14
171,770,65.5,72.33333333333333,-0.17013333333333333,1,60
172,89,68.56666666666666,87.1,0.4253066666666667,1,10
173,453,60.9,84.35714285714286,-0.42825166666666664,1,40
174,3,71.5,94.86666666666666,-0.041071666666666694,0,1
175,827,62.53333333333333,75.9,0.043875000000000004,1,62
176,425,60.766666666666666,85.7,0.5048766666666666,1,38
177,83,68.83333333333333,93.03333333333333,0.28082,1,10
178,348,62.06666666666667,86.8,0.32988,1,34
179,326,64.46666666666667,90.2,0.30267,1,32
180,731,54.03333333333333,95.1,0.013809999999999996,1,56
