Sampled_Row,Randomized_Position,Record_ID,Window,HR_Mean,SpO2_Mean,Flow_Mean,Stage,Sleep_Label,Split
99,495,568,568,-0.6092703974213367,0.777646912413601,-0.08174051021515913,N3,1,train
100,500,634,634,-0.8336320172868337,1.1198450370580333,-0.419531449618402,N1,1,train
101,505,46,46,1.6815798264684756,0.6615439772663811,0.004212737473698019,N2,1,train
102,510,261,261,0.3590271198929132,-1.8988312767696491,-1.7142902370515212,W,0,train
103,515,263,263,0.235037803651455,-2.7604372691779555,-0.18048322256356955,N1,1,train
104,520,880,880,-0.7686852325889277,0.013811812760846523,-1.2371402743135158,N2,1,train
105,525,353,353,-0.33767475232099836,-0.29783290789747746,0.5778574955524213,N2,1,train
106,530,572,572,-1.0520893839979757,0.484334234146942,0.388470487654365,N2,1,train
107,535,737,737,-0.18416417030776341,0.875417805169153,0.04213154805081939,R,1,train
108,540,245,245,1.356845902978941,-1.2022136658863383,-0.5791808817331215,N1,1,train
109,545,154,154,0.21142079103403433,-0.34060767347803184,1.8131588781320858,N2,1,train
110,550,322,322,0.14647400633612717,0.4232274261747226,0.9187186163424856,N1,1,train
111,555,115,115,0.4416866640538861,-0.9700077955919014,0.8705067120985639,N1,1,test
112,560,651,651,-0.3967172838645507,-0.5972562669613555,-0.3963128331573721,N1,1,train
113,565,897,897,-0.4793768280255224,0.20324291747472906,0.1884591141094271,W,0,train
114,570,171,171,-0.20778118292518408,0.3804526605941682,1.0480448311376538,N3,1,train
115,575,765,765,0.8845056506305252,-2.9193149699057273,-0.3090226664060455,N1,1,train
116,580,599,599,-0.7096427010453754,0.6920973812524922,-0.2631533283069816,N2,1,test
117,585,865,865,0.37083562620162414,0.11158270551639862,1.523307726703412,N2,1,train
118,590,374,374,0.09923998110128585,-1.5932972369085467,1.1486095393765094,N1,1,train
119,595,194,194,0.7014738028455147,0.24601768305528343,0.2793282013598423,N3,1,train
120,600,757,757,-1.347302041715736,-0.7255805637030186,-0.2406090869482594,R,1,train
121,605,152,152,0.7546120812347109,0.16657883269139637,0.9363174402842855,N2,1,train
122,610,226,226,-0.14283439822727692,0.3621206182025032,0.22183476610258132,N2,1,train
123,615,586,586,-0.7391639668171509,0.9548566555330374,0.8904362710430758,N2,1,train
124,620,910,910,0.004771930631601918,1.407047034527468,-0.5170082297572173,W,0,train
125,625,736,736,-0.8513447767498994,0.26434972544694846,-0.09136514435072489,R,1,train
126,630,680,680,-1.040280877689266,-1.9110526383640924,-0.49379552886726036,N2,1,train
127,635,262,262,0.6837610433824501,-0.6583630749335775,1.5875804064101866,N1,1,train
128,640,809,809,-0.7450682199715059,0.5821051269024942,-0.5772050809947816,N1,1,train
129,645,488,488,0.7959418533151974,-0.5300387781919144,-1.6865047997222327,N2,1,train
130,650,785,785,1.8173776490186446,-0.8233514564585707,-0.3949522518106111,N2,1,train
131,655,123,123,1.1856225615026403,-1.3427593242224447,0.49128902847198525,N2,1,train
132,660,197,197,0.45349517036259585,0.2887924486358378,-0.2266010146476941,N3,1,train
133,665,122,122,0.4771121829800178,-1.6666254064752122,0.14665968890850045,N1,1,train
134,670,415,415,0.9317396758653665,-2.509899356491851,0.08254081404962076,R,1,train
135,675,715,715,-1.0757063966153964,1.0526275482885923,0.059458255723266934,N2,1,train
136,680,832,832,-0.49708958748858817,-0.24283678072247972,0.13248006504682175,N2,1,train
137,685,693,693,-0.8041107515150581,0.3498992566080572,-0.44028327294204345,N2,1,train
138,690,877,877,-1.1524616876220144,-0.585034905366912,-1.066535204571834,N1,1,train
139,695,232,232,1.4572182066029786,0.765425550819155,-3.0046774174617865,N2,1,test
140,700,894,894,-1.2941637633265386,0.3926740221886116,-0.6246065520017199,N1,1,test
141,705,317,317,1.362750156133296,-0.6094776285558015,-0.8754563433469356,W,0,train
142,710,258,258,0.32950585412113764,0.21546427906917243,0.17840855885661436,N1,1,test
143,715,384,384,2.466845495997716,-1.2510991122641144,-1.9936767432522804,W,0,train
144,720,347,347,0.305888841503717,-0.32227563108636414,1.2750903644856255,N1,1,train
145,725,822,822,2.2897179013670605,-4.172004533336242,0.8632719686764392,N1,1,train
146,730,556,556,-0.9458128272195834,0.514887638133053,-0.5712303542111791,N3,1,test
