Threshold,Accuracy,Balanced_Accuracy,Precision,Sensitivity_Recall,Specificity,FPR,F1,TN,FP,FN,TP
0.7699999999999999,0.5753865979381443,0.6263574523862743,0.804739336492891,0.4329423763386028,0.8197725284339458,0.18022747156605423,0.5629973474801061,937,206,1112,849
0.7799999999999999,0.5760309278350515,0.6294220234199435,0.8134110787172012,0.4268230494645589,0.8320209973753281,0.1679790026246719,0.559866220735786,951,192,1124,837
0.7899999999999999,0.5721649484536082,0.6285520403779206,0.8187311178247734,0.4145843957164712,0.84251968503937,0.15748031496062992,0.5504400812457685,963,180,1148,813
0.7999999999999999,0.5692654639175257,0.6280820264626534,0.8236514522821576,0.4048954614992351,0.8512685914260717,0.14873140857392825,0.5429059829059829,973,170,1167,794
0.8099999999999999,0.5653994845360825,0.6272120434206305,0.8297413793103449,0.39265680775114736,0.8617672790901137,0.13823272090988625,0.5330564209068882,985,158,1191,770
0.82,0.5637886597938144,0.6279443906839539,0.8368479467258602,0.3844977052524222,0.8713910761154856,0.12860892388451445,0.5269042627533194,996,147,1207,754
0.83,0.5586340206185567,0.6253246263645907,0.8400460299194477,0.3722590515043345,0.8783902012248469,0.1216097987751531,0.5159010600706714,1004,139,1231,730
0.84,0.5538015463917526,0.6238722008295623,0.8478260869565217,0.3579806221315655,0.889763779527559,0.11023622047244094,0.5034062387952671,1017,126,1259,702
0.8499999999999999,0.5470360824742269,0.6205249968435231,0.8535031847133758,0.34166241713411527,0.8993875765529309,0.10061242344706911,0.4879825200291333,1028,115,1291,670
0.8599999999999999,0.5389819587628866,0.6159754316788932,0.8581081081081081,0.323814380418154,0.9081364829396326,0.09186351706036745,0.47019622362088115,1038,105,1326,635
0.8699999999999999,0.5306056701030928,0.6111708945611783,0.8631123919308358,0.30545639979602246,0.9168853893263342,0.0831146106736658,0.4512241054613936,1048,95,1362,599
0.8799999999999999,0.5248067010309279,0.6089535531668944,0.8738461538461538,0.2896481387047425,0.9282589676290464,0.07174103237095363,0.43508234392952894,1061,82,1393,568
0.8899999999999999,0.5148195876288659,0.6037865231150032,0.8862478777589134,0.2661907190209077,0.9413823272090989,0.05861767279090114,0.40941176470588236,1076,67,1439,522
0.8999999999999999,0.5035438144329897,0.596322291687022,0.8903345724907064,0.2442631310555839,0.9483814523184602,0.051618547681539804,0.3833533413365346,1084,59,1482,479
0.9099999999999999,0.49226804123711343,0.5890405336252907,0.8969072164948454,0.22182559918408976,0.9562554680664916,0.04374453193350831,0.35568274734260014,1093,50,1526,435
0.9199999999999999,0.47777061855670105,0.5795740027652077,0.9066985645933014,0.19326874043855177,0.9658792650918635,0.03412073490813648,0.31862126944094155,1104,39,1582,379
0.9299999999999999,0.46230670103092786,0.5689776093133692,0.9147727272727273,0.16420193778684344,0.973753280839895,0.026246719160104987,0.2784262862083874,1113,30,1639,322
0.94,0.44490979381443296,0.5563039640442701,0.916083916083916,0.13360530341662416,0.979002624671916,0.02099737532808399,0.23319982198486872,1119,24,1699,262
0.95,0.43105670103092786,0.5466174836253577,0.925764192139738,0.10810810810810811,0.9851268591426072,0.014873140857392825,0.19360730593607306,1126,17,1749,212
