Model,FPR,TPR_Sensitivity,Threshold,ROC_AUC
Random Forest,0.15923009623797024,1.0,0.104,1.0
Random Forest,0.17410323709536307,1.0,0.102,1.0
Random Forest,0.19160104986876642,1.0,0.1,1.0
Random Forest,0.20647419072615922,1.0,0.098,1.0
Random Forest,0.21959755030621173,1.0,0.096,1.0
Random Forest,0.23972003499562555,1.0,0.094,1.0
Random Forest,0.26334208223972005,1.0,0.092,1.0
Random Forest,0.2782152230971129,1.0,0.09,1.0
Random Forest,0.2869641294838145,1.0,0.088,1.0
Random Forest,0.310586176727909,1.0,0.086,1.0
Random Forest,0.3350831146106737,1.0,0.084,1.0
Random Forest,0.35870516185476814,1.0,0.082,1.0
Random Forest,0.3753280839895013,1.0,0.08,1.0
Random Forest,0.39545056867891515,1.0,0.078,1.0
Random Forest,0.40769903762029747,1.0,0.076,1.0
Random Forest,0.4304461942257218,1.0,0.074,1.0
Random Forest,0.4558180227471566,1.0,0.072,1.0
Random Forest,0.46981627296587924,1.0,0.07,1.0
Random Forest,0.4890638670166229,1.0,0.068,1.0
Random Forest,0.5021872265966754,1.0,0.066,1.0
Random Forest,0.5205599300087489,1.0,0.064,1.0
Random Forest,0.5336832895888014,1.0,0.062,1.0
Random Forest,0.5564304461942258,1.0,0.06,1.0
Random Forest,0.5713035870516185,1.0,0.058,1.0
Random Forest,0.5800524934383202,1.0,0.056,1.0
Random Forest,0.5923009623797025,1.0,0.054,1.0
Random Forest,0.6062992125984252,1.0,0.052,1.0
Random Forest,0.6176727909011374,1.0,0.05,1.0
Random Forest,0.6307961504811899,1.0,0.048,1.0
Random Forest,0.647419072615923,1.0,0.046,1.0
Random Forest,0.6614173228346457,1.0,0.044,1.0
Random Forest,0.6727909011373578,1.0,0.042,1.0
Random Forest,0.6937882764654418,1.0,0.04,1.0
Random Forest,0.710411198600175,1.0,0.038,1.0
Random Forest,0.7252843394575678,1.0,0.036,1.0
Random Forest,0.7340332458442694,1.0,0.034,1.0
Random Forest,0.7506561679790026,1.0,0.032,1.0
Random Forest,0.7812773403324584,1.0,0.03,1.0
Random Forest,0.8013998250218722,1.0,0.028,1.0
Random Forest,0.8188976377952756,1.0,0.026,1.0
Random Forest,0.8320209973753281,1.0,0.024,1.0
Random Forest,0.8486439195100612,1.0,0.022,1.0
Random Forest,0.8722659667541557,1.0,0.02,1.0
Random Forest,0.889763779527559,1.0,0.018,1.0
Random Forest,0.9098862642169728,1.0,0.016,1.0
Random Forest,0.9247594050743657,1.0,0.014,1.0
Random Forest,0.937007874015748,1.0,0.012,1.0
Random Forest,0.9501312335958005,1.0,0.01,1.0
Random Forest,0.9667541557305337,1.0,0.008,1.0
Random Forest,0.9807524059492564,1.0,0.006,1.0
Random Forest,1.0,1.0,0.002,1.0
Gradient Boosting,0.0,0.0,inf,1.0
Gradient Boosting,0.0,1.0,0.9999758806948313,1.0
Gradient Boosting,1.0,1.0,1.964325500755933e-05,1.0
