Model,Threshold,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,Precision,F1,Balanced_Accuracy,TN,FP,FN,TP
Random Forest,0.14,1.0,0.9562554680664916,0.04374453193350831,0.0,0.9751367478866235,0.9874118831822759,0.9781277340332458,1093,50,0,1961
Random Forest,0.15000000000000002,1.0,0.9623797025371829,0.03762029746281715,0.0,0.9785429141716567,0.9891551071878941,0.9811898512685915,1100,43,0,1961
Random Forest,0.16,1.0,0.9676290463692039,0.03237095363079615,0.0,0.9814814814814815,0.9906542056074766,0.9838145231846019,1106,37,0,1961
Random Forest,0.17,1.0,0.9746281714785652,0.02537182852143482,0.0,0.9854271356783919,0.9926600860541634,0.9873140857392826,1114,29,0,1961
Random Forest,0.18000000000000002,1.0,0.979002624671916,0.02099737532808399,0.0,0.9879093198992444,0.9939178915357324,0.989501312335958,1119,24,0,1961
Random Forest,0.19,1.0,0.9833770778652668,0.016622922134733157,0.0,0.9904040404040404,0.9951788886069526,0.9916885389326334,1124,19,0,1961
Random Forest,0.2,1.0,0.9886264216972879,0.011373578302712161,0.0,0.9934143870314083,0.9966963151207116,0.9943132108486439,1130,13,0,1961
Random Forest,0.21000000000000002,1.0,0.989501312335958,0.010498687664041995,0.0,0.9939178915357324,0.9969496695475343,0.994750656167979,1131,12,0,1961
Random Forest,0.22,1.0,0.989501312335958,0.010498687664041995,0.0,0.9939178915357324,0.9969496695475343,0.994750656167979,1131,12,0,1961
Random Forest,0.23,1.0,0.9921259842519685,0.007874015748031496,0.0,0.9954314720812183,0.9977105062325108,0.9960629921259843,1134,9,0,1961
Random Forest,0.24000000000000002,1.0,0.9956255468066492,0.004374453193350831,0.0,0.9974567650050865,0.9987267634326458,0.9978127734033246,1138,5,0,1961
Random Forest,0.25,1.0,0.9973753280839895,0.0026246719160104987,0.0,0.9984725050916496,0.999235668789809,0.9986876640419948,1140,3,0,1961
Random Forest,0.26,1.0,0.9982502187226596,0.0017497812773403325,0.0,0.9989811512990321,0.9994903160040775,0.9991251093613298,1141,2,0,1961
Random Forest,0.27,1.0,0.9991251093613298,0.0008748906386701663,0.0,0.9994903160040775,0.99974509304104,0.9995625546806649,1142,1,0,1961
